C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
1999,01,1,15,2,02,21,UU,1,3,1,18,01,01,1994,01,U,47,11,1,UU,1,000000000009429
1999,01,1,15,2,02,21,UU,1,3,1,18,01,01,1994,02,F,47,13,2,02,2,000000000009429
1999,01,1,15,2,02,21,UU,1,3,1,18,02,01,1987,01,U,37,11,1,UU,1,000000000009429
1999,01,1,18,2,02,33,02,1,2,2,01,01,01,1995,01,U,67,11,1,UU,1,000000000009656
1999,01,1,18,2,02,33,02,1,2,2,01,02,01,1987,01,M,36,11,2,02,1,000000000009656
1999,01,1,14,2,02,34,02,1,2,1,18,01,01,1986,01,U,19,11,1,UU,1,000000000009690
1999,01,1,14,2,02,34,02,1,2,1,18,01,01,1986,02,F,16,13,2,02,2,000000000009690
1999,01,1,14,2,02,34,02,1,2,1,18,02,01,1995,01,U,54,11,1,UU,1,000000000009690
1999,01,1,17,2,01,01,UU,1,5,1,05,01,01,1995,01,U,43,11,1,UU,1,000000000009957
1999,01,1,17,2,01,01,UU,1,5,1,05,99,NN,NNNN,01,M,UU,99,2,NN,3,000000000009957
1999,01,1,13,2,01,03,UU,1,5,2,18,01,01,1994,01,F,43,11,2,02,1,000000000009958
1999,01,1,16,2,02,34,02,4,3,1,03,01,01,1994,01,F,35,11,2,02,1,000000000010058
1999,01,1,16,2,02,34,02,4,3,1,03,02,06,1995,01,U,24,11,1,UU,1,000000000010058
1999,01,1,12,2,02,34,02,1,2,1,18,01,01,1992,01,M,51,11,2,02,1,000000000010110
